Nation,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Points,Netto,Position,
SWE,7351,Karl-Erik Nilsson,Anders Avén,TKK,1,4,7,12,1,1,,39,21,1,
SWE,7352,Bergström,Hallberg,GODS,2,2,RET,1,3,5,0 PROBLEM,"111,7","21,7",2,
DEN,7381,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,NR,4,1,5,2,2,9,,39,24,3,
SWE,6630,Staffan Eklund,Anders Eklund,KSSS,7,3,1,4,9,2,,"44,7","29,7",4,
DEN,7143,Jørgen Schönherr,Anders Kæmpe,KSK,3,5,2,6,4,19,LORD NELSON,"63,4","38,4",5,
GER,7005,Matthias Dietz,Wiedemann,PSG,42,6,4,9,7,3,XIX,"101,5","53,4",6,
SWE,7033,Ebbe Rosén,Olle Wenrup,FUSS,6,7,3,5,11,29,BLACK TURKEY,"92,4","57,4",7,
GBR,7275,Phil Milanes,John Labbett,FFsC,5,10,6,7,5,DNC,FAST 2 RELIABLE,"149,7","60,7",8,
GER,6768,Adalbert Kluck,Gerhard Schmidt,TVS,16,15,8,3,8,34,GUT HOL.,"116,7","76,7",9,
DEN,7162,Michael Staal,Erik Lund,OS,9,13,16,RET,13,11,AMAGERSTANGEN,181,92,10,
SUI,7072,Jobdon,Emery,,23,17,21,18,6,4,PINK PANTHERS,"122,7","93,7",11,
FRA,7187,Gubn,Debeaumont,COP,14,9,15,14,25,15,X.,128,97,12,
SUI,7078,Christen Ruedi,Mathis Ruedi,SCAC,10,11,25,13,DNC,10,BIG SCHEISSE,188,99,13,
SUI,6750,Josef Zuppiger,Brechbuhler,RCO,12,DNC,14,17,15,12,PUMI,189,100,14,
SUI,7028,Urs Scherrer,Reto Walser,T.,17,32,63,8,17,6,ITALTPASTILLER,"178,7","109,7",15,
FRA,6589,Marcel Buffet,Vanier,,13,12,9,24,24,38,VA-ZA,156,112,16,
FRA,6572,Francis Doerenbecher,Gay Bottlaender,,28,23,RET,15,12,8,GA-YETI,205,116,17,
DEN,7017,Vestbo,Borre,H3,18,8,24,36,20,18,,160,118,18,
SWE,7209,Ferm,Ferm,LOS,25,20,32,11,14,21,SNICKELFRITS DE,159,121,19,
SUI,7223,Schiess,Schiess,SCC,47,29,17,20,16,17,,182,129,20,
GER,7271,Eich,Zecher,80C,15,36,22,16,19,30,OCCASION,174,132,21,
GBR,7313,Michael Lawton,Merrett,GuSC,8,48,13,21,RET,13,TRAFFIC LIGHT,222,133,22,
GBR,7293,Peter Bainbridge,Jamie Campbell,ROTC,20,DNC,12,33,23,32,REPLAY,239,150,23,
GER,7292,Frisch,Jenssen,SCD,19,16,41,39,22,28,,201,154,24,
SWE,7343,Stromberg,Jan Calvert,6KSS,34,25,19,PMS,10,39,wOODPECKER,246,157,25,
GBR,6960,Tim Marlow,S. Cook,ni.,40,31,20,23,37,24,,211,165,26,
FIN,7356,lly Brummer,Olli Karlsson,NJK,DSQ,18,11,10,DNC,16,,257,168,27,
FRA,7121,Remi Tristan,Gwenola Tristan,SRP,57,22,30,41,20,26,,240,177,28,
GER,7354,Stefan Waskönig,Harald Wolff,ETUF,27,DNC,26,37,39,23,PROTO-T,271,182,29,
FRA,7122,Bernard Oudard,Denis Oudard,OCR,44,33,33,20,27,31,,232,182,30,
GER,6865,A. Hampe,S. Rison,EE,36,44,21,26,RET,20,RIPPER,272,183,31,
FRA,7235,Le Trouquer,Pascal,CvESO,35,27,29,29,34,35,,225,184,32,
GER,6974,Andreas Beckman,Claus Tiedemann,RYE,31,94,RET,22,DNC,7,mAGISTER 1116BOL,276,187,33,
ITA,7113,Graham,Graham,CNBC,22,20,36,DNC,29,46,,260,191,34,
FRA,6963,Christian Lippi,Dufouro,ASIAN,32,37,26,43,26,42,,244,195,35,
FRA,7147,,Philippe Lecrit,Philippe Sérane,ACAL,11,DNC,DNC,27,33,14,,287,198,36
SUI,6532,Fehlmann,Real,YCZ,24,RET,59,35,30,22,ELVIS PRESSESLY,289,200,37,
DEN,7140,Henrik Andersen,Søren Andersen,KOY,37,24,23,32,DNC,55,,290,201,38,
SUI,7244,Marc Collomb,Yvan de Rham,CNN,48,43,30,25,43,25,,253,204,39,
SUI,6767,Werner Müller,Mueller,YCZ,52,DNC,34,42,21,27,,295,206,40,
SWE,7166,Anders Malmström,Stefan Blidner,,61,40,18,38,32,49,Turbo,274,207,41,
GER,7045,Joost,Joost,SvSS,64,19,35,31,50,50,CAT SALON,285,215,42,
FRA,6986,Raguet,Patrick Conard,Cv0,54,38,52,30,36,36,Xix,282,222,43,
GER,6930,Brigitte Preuss,Rolf Bertenrath,DSCU,33,30,66,51,31,52,DUO,299,227,44,
GER,7085,Peter Forster,Toepfer,BYC,29,26,RET,PMS,18,44,Rity-Rata,319,230,45,
FRA,6620,François Fischer,Claudel Phillips,,30,DNC,37,48,45,40,,319,230,46,
SUI,7371,Lauebli,Rabus,SCE,50,46,42,40,DNC,43,Ingo Mouse,340,251,47,
GER,6505,Ewald Brzoska,Hanno Barth,,51,34,45,47,46,56,,315,253,48,
FRA,6585,Robert Fossard,Vincent Barthélemy,YCW,45,35,31,68,DNC,47,M’Enfin,345,256,49,
GBR,7301,David Pitman,Ludlow,,21,DNC,10,PMS,RET,37,TITAN,353,264,50,
GER,7129,Pabst,Hay,TVS,43,50,55,RET,41,45,HANG LOOSE,333,264,51,
FRA,7257,Lévesque,Lepage,SNO,38,39,43,P00,DNC,33,,355,266,52,
GER,7131,Hauke Rathjens,Frank Uhlemann,KT:,33,DNC,40,72,51,41,COAST....,360,271,53,
GER,6816,Bernd Kowalzig,Arne Mußbach,SCSI,67,52,50,49,40,51,POCH,346,272,54,
SWE,6434,Arne Malm,Melin,FSS,62,54,40,DNC,35,58,Mekka,360,279,55,
SWE,6841,Oskarsson,Edstrom,KS.,DSQ,21,46,50,DNC,53,BORRAMED TURKEY,372,283,56,
GER,7035,Thomsen,Schultz,RVE,58,51,39,RET,42,67,LIEKEN DEELEO,376,287,57,
DEN,6724,Hansen,Gravesen,SDP,69,45,56,45,DNC,48,MADCAP,382,293,58,
FRA,7172,Gilbert Vinches,Nadaud,YCD,63,42,47,60,54,DNC,,365,296,59,
GER,7044,Meyer,Riak,EVS,59,56,54,56,47,65,DINO,373,302,60,
SUI,7026,Spiess,Buser,TC0,71,41,DNC,66,44,54,,395,306,61,
SUI,6471,Lucien Keller,Georges Gay-Pierre,CNN,41,DNC,RET,34,38,RET,,398,309,62,
FRA,7139,Gerard Toupet,Fabrice Toupet,SUB,77,49,62,54,55,61,,394,311,63,
GER,6771,Bouchholz,Bolender,DscU,66,60,53,57,51,60,.2.2NEN,385,313,64,
FRA,6731,Philippe Lucienne,Bruno Bonnet,CUBMC,70,47,0,59,48,RET,,403,314,65,
FRA,6961,Gre’,Gauvin,CMIS,74,57,48,64,49,66,,394,314,66,
FRA,7261,Tricard,Piazza,CND,49,53,61,DNC,58,69,LA BOMON,409,320,67,
IRL,6604,Denis O'Sullivan,Dixon,MSC,76,59,58,53,61,63,PANACHE,406,324,68,
FRA,73*,Wattinne,SOLATGES,CNN,39,DNC,CNC,19,DNC,DNC,,426,337,69,
GER,7105,Klemencic,Schenkl,TSVH,73,55,64,65,60,64,WHITE LADY,417,338,70,
FRA,7138,Philippides,Bachet,ACAL,75,DNC,65,63,52,57,,431,342,71,
FRA,7053,Sylvan Pellissier,Margot,YCC,46,DNC,49,58,DNC,DNC,,438,349,72,
GBR,7360,Michael Nott,Furlong,RLYC,64,DNC,RET,62,56,59,RED STREAK,444,355,73,
GER,6535,Ouellma,Rohanus,AsvS,RET,61,57,55,DNC,70,,445,356,74,
GER,6929,Ralf Stoll,Schweig,SCS,72,58,RET,YMP,57,62,SHEISS-VERKEHR,445,356,75,
FIN,5335,Palvimani,Palvihaki,JVS,78,RET,RET,67,59,68,,474,385,76,
SUI,7081,Gregorini,Rathgeb,RCO,26,DNC,DNC,DNC,DNC,DNC,BARCA ROSSA,477,388,77,
SUI,7220,Godet,De Tribolet,,60,DNC,51,DNC,10,DNC,ONIX,479,390,78,
FRA,5803,Christian Marechal,Perrin,XXX,67,DNC,DNC,46,DNC,DNC,,401,392,79,
GER,6942,Hammer,Antoni,SCW,55,DNC,RET,61,RET,DNC,HENTE SLAV 9060,484,395,80,
FRA,7266,Ehrmardt,Weber,OR,RET,DNC,DNC,44,DNC,DNC,,497,406,81,
FRA,7117,Derestrepo,Beltzung,LYVS,56,DNC,DNC,DNC,DNC,DNC,,507,418,82,
