Boat,Helm,Crew,Club,1,2,3,4,5,final,n°
USA 8266,Howard Hamlin,Mike Martin,,2,2,2,1,DNS,9,1
USA 7771,Andy Beeckman,Ben Benjamin,,1,9,1,5,6,21.7,2
DEN 8728,Jörgen Schönherr,Anders Kaempe,,3,4,3,3,5,25.1,3
GER 8721,Wolfgang Hunger,Holger Jess,,4,3,5,4,DNF,31.7,4
SWE 8655,Krister Bergström,Thomas Moss,,5,5,6,2,7,34.7,5
GBR 8720,Ian Pinnell,Nick Powell,,14,1,12,7,3,36.7,6
SWE 8232,Ebbe Rosén,Olle Wenrup,,8,6,15,9,2,43.7,7
GBR 8552,Mark Upton-Brown,Ian Mitchell,,11,12,9,21,1,50,8
DEN 8620,Jan Saugmann,Morten Ramsbeck,,12,11,7,43,4,56,9
GER 8623,Stefan Böhm,Gerald Roos,,37,8,11,6,14,62.7,10
FRA 8684,Peirre-Jean Gallo,Fabri Toupet,,10,27,17,11,12,74,11
GER 8670,Martin Goerge,Rayner Goerge,,9,14,4,47,27,76,12
FRA 8702,Philippe Boite,Jean L Muzellec,,20,16,29,8,9,77,13
USA 7201,Daniel Thompson,Andrew Zinn,,16,18,8,37,13,79,14
GBR 8555,David Smithwhite,Paul Young,,24,13,20,10,15,82,15
GBR 8342,Mike Holt,Paul Beasley,,21,23,14,20,11,90,16
GBR 8676,Clive Robinson,Gary Cawthorn,,13,10,24,31,21,92,17
GBR 8481,Simon Payne,Bill Masterman,,15,17,32,26,10,92,18
FRA 8564,Laurent Hay,Stephane Boudier,,30,7,47,19,19,99,19
AUS 8280,Michael Quirk,Geoff Lange,,41,46,19,18,8,110,20
GBR 8429,Rob Napier,Kimball Morrison,,36,32,21,15,24,116,21
DEN 8656,Jan Muller,Jacob Bojsen-Møller,,7,49,23,17,DNF,120,22
GER 8725,Tom Gosch,Ralf Meyer,,26,45,33,24,16,123,23
GER 8658,Christian Schäfer,Uwe Latsch,,28,19,34,28,25,124,24
GBR 8568,Charles Walters,Chri Diebitsch,,33,15,18,35,39,125,25
FRA 8709,Alain Boite,Goff Le Maxime,,53,24,16,33,30,127,26
DEN 8082,Soeren Andreasen,Jens Langendorf,,46,25,43,12,26,130,27
GBR 8419,Stuart Turnbull,Jason Lunn,,60,20,27,34,32,137,28
SWE 8585,Jan Eriksson,Magnus Molin,,52,34,30,16,35,139,29
CAN 7200,Alexander Meller,Malcolm 'Pip' Pearson,,32,33,22,46,28,139,30
GER 8621,Dirk Filiminov,Lars Stockmann,,18,63,39,32,29,142,31
GBR 8707,Steve Nicholson,Jonat Mildred,,31,41,10,38,DNF,144,32
GER 8671,Markus Muhlbauer,Angel Stenger,,6,40,69,30,45,144.7,33
DEN 8675,Rasmus Fredsted,Thomas Hartuig,,44,31,46,14,36,149,34
FRA 7740,Erick Petit,Thierry Rattier,,42,30,48,40,18,154,35
GBR 8640,Vernon Ralston,Simon Spratt,,19,RDG,31,44,59,156.3,36
GBR 8526,Tim Bird,Arhtur George,,62,29,26,27,55,161,37
FRA 8677,Michel Christ,Philippe Claude,,23,35,DSQ,36,47,165,38
DEN 8622,Tom Bøjland,Soren Rohde,,34,57,28,29,DNF,172,39
FRA 8431,Herve Druart-Pariat,Thomas Boudier,,40,47,57,22,46,179,40
GBR 8679,Ian Montague,Neil Fulcher,,66,36,40,63,17,180,41
DEN 8476,Per Larsen,Henrik Anderson,,22,38,53,52,44,180,42
GER 8633,Jens Hartwig,Wolfgang Stückl,,38,26,64,57,38,183,43
GER 8634,Jörgen Thumann,Franco Weichel,,25,21,78,48,66,184,44
GBR 8708,Martin Wedge,Nick Beloe,,59,76,25,55,22,185,45
FRA 8400,Marc Jouany,Erik Nigon,,29,60,36,58,42,189,46
GBR 8378,Martin Hodgson,Alastai Macleod,,35,75,61,49,23,192,47
SWE 8719,Jakob Linduall,Kalle Byrenius,,55,88,58,13,43,193,48
GER 8642,Stefan Schollmayer,F Sanguino,,39,22,52,61,65,198,49
GBR 8705,Terry Scutcher,Simon Lake,,56,53,50,25,48,200,50
GBR 8495,Dave Peacock,Cris Hewkin,,51,85,56,39,31,201,51
SUI 8426,Marcell Plüss,Yvo Durr,,27,122,45,51,64,211,52
AUS 8696,Carter Jackson,Adam Mailling,,68,62,38,74,20,212,53
AUS 8644,David Porter,Peter Holden,,69,44,54,59,33,214,54
FRA 8459,Jerome Terrasson,C Briffoteaux,,58,112,37,41,58,218,55
ZIM 8445,Cosh Patrick Mac,Mike Price,,64,48,80,23,61,220,56
GBR 8458,Jack Hayhurst,Adrian Coates,,45,43,59,53,57,222,57
SUI 8486,Simone Zund,Michel Rotache,,85,61,35,50,53,223,58
FRA 8687,Francois Fischer,Jerom Delvaux,,43,59,74,60,40,226,59
GBR 8694,Andy Williams,Steve Hunt,,61,28,66,81,50,229,60
GBR 8701,Paul Lovesy,Andy Williams,,47,58,44,56,71,229,61
FRA 8321,Michel Rimbert,Antoine Rimbert,,48,66,55,42,DNF,235,62
BEL 8553,Paul Gorremans,Eric Defroimont,,79,50,51,70,51,246,63
GBR 8556,Richard Tew,John Ironmonger,,17,37,13,DNF,DNC,249,64
DEN 8581,Jon Anderson,Lasse Adreasen,,112,77,42,72,37,252,65
FRA 8541,Francis Doerenbecher,Doerenbec,,67,54,DNF,67,41,253,66
DEN 8551,Jacob Ernst,Jesper Ernst,,49,81,63,65,52,253,67
BEL 8463,Hemeldowck Emiel Van,Jan Van Hemeldonck,,77,39,67,73,67,270,68
GER 8580,Frieder Achterberg,Achterberg,,84,65,77,45,60,271,69
AUS 8603,Ian Dunn,Paul Schulz,,65,52,71,89,63,275,70
GER 8376,Volker Niedick,Stefan Heising,,DSQ,51,49,75,78,277,71
FRA 8565,De Mouilla Valleteau,Sc Benoit,,54,71,75,66,62,277,72
GBR 8291,Richard Sims,Simon Wood,,88,116,73,64,34,283,73
FRA 8484,Philippe Blanchard,Doerenbeche,,71,82,60,76,54,285,74
FRA 8455,Marcel Buffet,Damien Trouillet,,63,98,41,82,85,295,75
SUI 8440,Urs Scherrer,Adrian Iten,,70,42,DSQ,85,79,300,76
GBR 8489,John Webster,Eric Ironmonger,,75,55,86,71,77,302,77
BEL 8536,Bart Meynendonckx,Chr Lehouckx,,78,64,85,54,DNC,305,78
SUI 8016,Florent Chapatte,Ma Froidevaux,,57,56,105,69,DNF,311,79
FRA 8449,Philippe Lucienne,Bruno Bonnet,,74,83,83,62,68,311,80
GBR 8508,Sam Neal,Robin Annett,,72,80,95,83,56,315,81
GBR 8072,Michael Simms,Andrew George,,90,74,70,80,110,338,82
GBR 8574,Lee Martin,Steve Perkins,,89,67,91,79,81,340,83
RSA 8584,Nigel Milln,Ian Hogg,,96,68,76,91,82,341,84
FRA 7941,Veronique Dousselin,Jean Peter,,50,109,103,87,80,344,85
GBR 8467,Chris Romans,Brenda Romans,,145,93,90,90,49,346,86
FRA 8695,Jean-Guy Puissant,Eti Seguelas,,80,72,72,104,98,346,87
SUI 7953,Adrian Zaugg,Yves Reinacher,,81,DNC,81,95,70,351,88
FRA 7999,Serge Gubri,Marc Riot,,92,86,79,101,73,354,89
FRA 8188,Pierre Soulier,Phili Lenorment,,105,69,68,108,99,365,90
FRA 8008,Marc Dousselin,Alain Beltzung,,95,123,62,78,107,366,91
GBR 8483,Simon Sydenam,Matthew Brittin,,97,95,82,96,72,369,92
FRA 8353,Robert Fossard,Frede Roucayrol,,104,70,110,86,89,373,93
GBR 8678,Tim Berry,Richard Berry,,83,79,89,98,104,373,94
FIN 7784,Held Thomas,Gustafsson Robin,,106,114,88,68,92,378,95
GBR 8418,Eamon Cuthbert,Mark Cuthbert,,76,100,101,77,OCS,378,96
GBR 8306,Chris Robinson,Tom Phillips,,82,DNC,109,94,76,385,97
GBR 8704,Jean-Baptiste Dupont,Jonathan Rennie,,98,90,102,102,74,388,98
FRA 8491,Frederic Veroul,Jean Ja Veroul,,86,94,99,113,88,391,99
GER 8632,Dean Williams,Darren Nicholson,,73,73,65,DNC,DNC,393,100
DEN 8364,Bent Lundsager,Uppe Andersen,,102,121,84,84,100,394,101
FRA 8717,Jacob Antoine Lortat,P Chervet,,93,111,92,103,84,396,102
FRA 8683,Gerard Tilly,Xavier Tilly,,118,91,100,92,97,404,103
FRA 8462,Laurent Lasnier,Gilles Lasnier,,110,89,106,100,86,405,104
GBR 8305,Andrew Short,Martin Hood,,111,78,98,99,115,410,105
RSA 8587,Robert Crisp,Buddenbrock W Von,,87,115,94,110,96,411,106
FRA 8007,Yann Brotschi,Xavier Brotschi,,99,97,123,119,75,414,107
AUS 8185,Earle Alexander,Ken Lockenby,,128,110,108,112,69,423,108
FRA 8545,Alain Preel,Alexis Preel,,113,128,87,116,83,423,109
GBR 8423,Martin Wright,Chris Wright,,114,102,114,93,90,423,110
FRA 8352,Philippe Noclain,Jean Noclain,,107,125,93,114,91,429,111
FRA 8456,Jean-Pierre Di Pede,Be Di Pede,,133,87,127,106,87,431,112
FRA 7932,Jacques Raguet,Ludovic Roblin,,100,84,120,122,106,434,113
FRA 8693,Muriel Jeanne,Gilles Carvallo,,126,124,107,88,94,437,114
FRA 7147,Alain Champeau,Jean Marie Tournier,,91,92,118,117,121,442,115
RSA 8121,Albrecht Holm,Ditmar Holm,,103,103,97,120,117,444,116
FRA 8090,Loic Bleuez,Michel Bonnet,,109,DSQ,104,109,101,447,117
FRA 8348,Jacques Bochu,Christophe Bochu,,115,96,119,135,95,449,118
GBR 8514,Andrew Fitzgerald,Tim Rains,,108,134,112,111,103,458,119
GBR 8213,Robert Burdekin,Ben Coates,,131,113,113,97,118,465,120
GBR 8591,David Bell,Peter Ward,,117,108,115,105,119,469,121
FRA 8184,Damien Zucconi,Lauren Camusson,,119,106,116,DSQ,108,473,122
FRA 8063,Dominic Gaultier,Frede Mistral,,94,104,124,146,129,475,123
FRA 8382,Patrice Hue,Gautier Destombes,,101,120,122,145,109,476,124
FRA 8521,Jean Philippe Chartier,Matthieu Guibbal,,116,137,96,132,120,488,125
FRA 8688,Robert Lehmann,Daniel Wagner,,120,117,145,128,102,491,126
GBR 8304,Chris Pearson,Fra Rainsborough,,123,126,129,133,93,495,127
GBR 8510,Andrew Thorp,Nick Thorp,,122,131,111,125,116,498,128
FRA 8509,Patrice Michel,Domi Keraudrenv,,132,99,137,107,DNF,499,129
GER 8674,Rainer Kremkow,Matthias Retzlaff,,124,105,126,123,125,501,130
FRA 7929,Jerome Demoment,Pierre Souben,,143,118,121,142,111,516,131
FRA 6126,Francois Cuny,Eric Cuny,,121,132,135,118,123,518,132
FRA 7192,Philippe Claraz,Pascal Jullian,,125,130,139,136,105,520,133
GBR 8435,Patrick McGale,Michael Nolan,,138,147,138,115,112,527,134
GBR 8095,Peter Burwood,Stephen Burwood,,147,101,117,140,DNC,529,135
GBR 7931,Chris Thorne,Régis Viateur,,135,119,125,129,133,530,136
FRA 8716,Christian Silvestre,Silvestre,,136,135,128,130,114,531,137
FRA 8302,Claude Got,Stephane Aggeri,,129,107,149,124,DNC,533,138
FRA 8301,Bernard Blondy,Jerome Bourgoin,,148,136,DNF,121,113,542,139
FRA 8359,Frederic Dalle,Laure Dalle,,127,142,140,131,126,548,140
FRA 8157,Bernard Dugrip,Pierre Bories,,130,133,134,141,132,553,141
BEL 7979,Frederic Dignef,Luc D Herde,,141,139,131,126,137,557,142
FRA 8062,Guillaume Brossillon,L Porcher,,144,146,130,139,122,559,143
FRA 8427,Jamonieres Nicolas Des,Lasnier,,139,129,136,150,131,559,144
FRA 6340,Bernard Peiffert,Didier Peiffert,,134,144,DNC,134,124,560,145
GBR 8490,Alex Jackson,Howard Breckell,,140,127,DNC,127,DNC,576,146
BEL 8106,Benoit Raucent,Phili Chevalier,,149,143,132,138,141,578,147
FRA 8002,Dominique Rouanne,Jean Blache,,146,141,141,143,130,579,148
FRA 8139,Stephane Cerbelle,Jean Gaspard,,142,148,133,147,134,580,149
FRA 8436,Samuel Carvallo,Clair Carvallo,,DNF,150,142,144,127,587,150
BEL 7015,Pierre Van de Poel,Vincent Zimmermann,,137,DNC,146,148,140,595,151
FRA 5923,Pierre Ducos,Her Lecharpentier,,153,140,151,DNC,128,596,152
BEL 8350,Bruno Vaniekaut,Philippe Wirtz,,150,DND,143,137,136,598,153
FRA 8366,Philippe Millet,Antoine Millet,,151,138,144,149,DNC,606,154
FRA 6448,Nicolas Cendron,Vincent Sorel,,155,145,150,DNF,135,609,155
FRA 7647,Philippe Chantraine,Will Froux,,152,151,147,151,138,611,156
FRA 6501,Jean-Marie Luthringer,Nougayre,,154,149,148,152,139,612,157
