Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Brutto,Netto,Place
GER,8875,Jens Findel,Johannes Tellen,KYC,3,1,1,1,1,1,3,19,2,3,DNC 31,66,,1
GER,8806,Lutz Stengel,Frank Feller,ROYC,1,2,6,7,5,DNC 31,1,1,1,4,3,62,,2
GER,8927,Martin Görge,Axel Priegann,TSVS,5,3,3,2,6,4,BFD 31,4,11,2,2,73,,3
GER,8958,Stefan Köchlin,Andreas Achterberg,SKF,2,6,4,6,2,2,BFD 31,2,3,5,11,74,,4
AUS,8920,Michael Quirk,Simon Reffold,MHYC,4,4,2,5,3,8,4,6,6,7,6,55,,5
GER,8966,Stefan Böhm,Gerald Roos,SCV,6,11,7,4,4,3,5,13,5,1,4,63,,6
GER,8975,Andreas Jungclaus,Holger Jess,HSC,11,10,5,3,7,11,6,3,4,10,10,80,,7
DEN,8826,Tom Bøjland,Anders Friis,Farum,7,8,8,8,12,5,8,5,8,8,1,78,,8
DEN,8828,Jon Andersen,Lasse B. Andersen,Reers,9,5,14,9,9,19,7,8,9,6,12,107,,9
GER,8825,Michael Troch,Eckart König,SGJ,22,14,9,11,8,5,2,12,14,12,7,116,,10
GER,8599,Florian Duwe,Marc Helms,TSC,12,15,10,10,15,10,9,11,7,9,13,121,,11
GER,8843,Franziska Unkelbach,Lars Dehne,KYC,20,9,11,14,11,14,13,10,13,14,DNC 31,160,,12
GER,8874,Norbert Dasenbrook,Sven Meier,KSW,6,18,12,15,17,12,14,17,12,13,9,145,,13
GER,8463,Frieder Achterberg,Arne Lanatowitz,DTYC,21,7,19,13,10,23,12,20,15,18,5,163,,14
GER,8777,Stefan Schollmayer,Christoph Klein,SCMSP,16,17,15,21,14,9,11,14,10,21,16,164,,15
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,13,24,22,16,24,15,10,7,21,11,8,171,,16
GER,8563,Volker Görge,Stefan Schmidt,TSVS,18,12,17,12,16,13,BFD 31,9,17,15,15,175,,17
DEN,8232,Mads Christiansen,Mikkel Bardram,AS,19,13,13,19,13,7,BFD 31,15,16,DNC 31,DNC 31,208,,18
GER,8775,Jan Sell,Wiebke Gewinn,TUSF,10,16,18,18,18,16,BFD 31,18,19,16,17,197,,19
GER,8929,Jürgen Waldheim,Robert Bussenius,PYC,14,DNC 31,16,17,19,21,16,25,20,17,19,215,,20
GER,8433,Jürgen Anton,Ulf Denecke,HSC,23,19,23,20,21,17,18,26,22,23,14,226,,21
ITA,8743,Marco Giraldi,Paolo Corbellini,UVM,OCS 31,20,20,22,22,24,17,16,23,20,DNF 31,246,,22
GER,8513,Sven Dömges,Andreas Happich,ESV86,15,21,21,25,DNC 31,22,BFD 31,23,18,19,DNF 31,257,,23
GER,8730,Enno Wilts,Rainer Gerdes,SVBB,17,DNC 31,DNC 31,23,23,20,20,22,27,24,18,256,,24
GER,8392,Konrad Barop,Georg Mittermayer,RSV,25,23,24,24,20,18,23,24,26,25,20,252,,25
GER,8798,Mathias Konrad-Schmolke,Katrin Konrad-Schmolke,SV03,24,25,DNC 31,26,DNC 31,DNC 31,19,21,DNC 31,26,21,286,,26
GER,7732,Iris Anton,Birgit Hartmann,HSC,26,27,26,27,25,25,22,29,25,27,23,282,,27
POL,8358,Marcin Józefowski,Jacek Barankiewicz,,DNC 31,22,28,DNC 31,DNC 31,DNC 31,15,27,24,22,DNF 31,293,,28
GER,8282,Max Rauner,Christian Lempp,SVTH,DNC 31,DNC 31,25,DNC 31,DNC 31,DNC 31,21,28,28,28,24,309,,29
SWE,8389,Felix Mittermayer,Pablo Gallo,,27,26,27,28,DNC 31,DNC 31,24,30,29,DNF 31,DNC 31,315,,30
